"id","naptime","total_sleep","midpoint_sleep","bedtime_mssd","cum_gpa","term_gpa"
458,64.33333333,451.962963,352.3518519,0.278307446,3.215,2.99
465,28.23076923,432.9230769,420.3076923,0.125992,3.390357143,3.37
469,37.11111111,388.7407407,360,0.068602893,3.958857143,3.94
485,70.88888889,367.4444444,344.1111111,0.299431424,2.9,3
490,31.57142857,459.6071429,352.6785714,0.111857186,2.998,3.4
494,35.08333333,411.5,440.75,0.103435203,3.724117647,3.86
499,38.36,413.52,440.96,0.126889468,3.946428571,3.93
503,38.03703704,402.9259259,305.4814815,0.13315212,3.492258065,2.94
506,79.07407407,352.8148148,419.3333333,0.571608728,3.657272727,3.3
509,100.2857143,349.5714286,354.875,0.148132907,3.635,3.83
510,36.22727273,368.2272727,351.4090909,0.037504409,2.83,2.67
511,18.9047619,410.5714286,400.5952381,0.204280556,3.862592593,3.8
513,15.64,449.56,351.44,0.044613233,3.611,3.09
523,46.32142857,392.7857143,285.7321429,0.22167162,3.385,2.77
534,34.46153846,393.4230769,364.1923077,0.069091111,3.052727273,3
541,48.35714286,382.75,504.2857143,0.358432023,3.154482759,3.28
547,37.15384615,369.2692308,322.3269231,0.101952,3.139259259,3.14
557,45.59259259,391.9259259,368.1481481,0.293845743,2.799130435,2.86
559,51.71428571,399.1071429,446.2321429,0.09362902,3.680625,3.17
562,6.555555556,298.3333333,584.6666667,10.59540365,3.88,3.52
564,49.07692308,407.3846154,415.0192308,0.048606222,3.601034483,3.63
567,24.09090909,436.3181818,433.7727273,0.157320484,3.948275862,3.91
570,35.51851852,403.4814815,427.3888889,0.052149901,3.363703704,3.01
571,40.42307692,435.3461538,427.1346154,0.128576444,3.625454545,3.49
306,42.5,339.9545455,492.4545455,0.62441736,3.4,3.5
308,38,414.3333333,467.3333333,0.409338018,2.53,2.4
314,34.67857143,381.2142857,446.8214286,0.174514556,2.79,3.37
360,32.04347826,350.6956522,349.3695652,1.240037879,3.29,3.39
361,30.86363636,357.7272727,451.5227273,0.297786596,3.59,3.38
380,6.24137931,376.5862069,473.4827586,0.085431193,3.48,3.46
383,55.41666667,411.8333333,459.0416667,0.120820206,3.77,3.57
386,72.31034483,422.137931,402.1724138,0.299388109,3.22,3.58
394,52.93103448,425.3448276,375.1724138,0.106319444,3.74,3.81
396,31.0952381,362.0952381,415.0238095,1.217045139,3.8,3.61
419,25.07407407,340,489.1851852,0.099436226,3.56,3.59
432,42.29411765,263.5294118,533.1470588,2.758615451,3.21,3.05
453,40.46666667,283.3333333,669.7333333,4.255410998,3.6,2.18
479,22.67857143,408.3214286,411.4107143,0.267059518,2.86,3.78
506,10.82758621,411.7241379,335.6896552,0.018758149,4,4
541,36.46428571,393.2857143,401.8392857,0.02902111,4,4
551,35.79310345,431.3448276,445.637931,0.170305768,4,3.42
563,67.89285714,427.7857143,401.0714286,0.166596936,4,4
577,52.8,393.72,393.32,0.110240644,3.78,3.81
581,39.22222222,397.962963,411.037037,0.419997124,3.56,4
