"id","naptime","total_sleep","midpoint_sleep","cum_gpa","term_gpa"
89,79.33333333,398.9166667,340.4166667,3.375,2.26923
98,99.10714286,407.3214286,558.7142857,3.370967742,3.966666
108,24.88461538,498.9230769,452.9423077,3.249999679,3.076923
117,63.67857143,390.4642857,366.1964286,3.351724138,2.690909
125,95.92307692,367.8846154,499.6538462,3.279310103,3.766666
132,71.07142857,430.4285714,319.6428571,2.331817364,3.446153
137,42.2962963,392.8518519,390.4444444,3.6599998,3.533333
144,52.85714286,335.1785714,365.3214286,3.35599984,2.871428
149,97.89285714,369.2857143,329.5357143,2.7,3
169,12.57142857,471.3214286,303.8035714,3.543749469,3.517647
174,47.42307692,404.9615385,571.25,2.310344414,3.376923
176,23.37037037,374.8888889,419.2962963,2.249999462,2.870588
305,16.82142857,434.8571429,394.2321429,3.775,3.92
325,36.14285714,353.3214286,413.6964286,3.010952381,3.39
328,98,349.5714286,346.1071429,3.835909091,3.85
357,31.17857143,445.6428571,258.5892857,3.16,3.53
420,57.91666667,336.0416667,328.25,3.156818182,2.9
421,28.28571429,416.1785714,342.125,3.201111111,3.62
433,24.82142857,438.8928571,379.1785714,3.534444444,3.72
455,73.44,373.56,368.72,2.605714286,2.57
457,36.95833333,420.9166667,336.0416667,3.482173913,3.33
466,11.39285714,385.0357143,314.7857143,3.802083333,3.85
470,31.59090909,405.2272727,392.3409091,2.9855,1.55
471,73.32,402.6,384.86,3.800454545,3.25
473,50.37037037,410.1111111,280.537037,3.662727273,3.35
504,41.44444444,335.6296296,377.9259259,2.850714286,2.97
517,32.12,511.8,392.28,3.24,2.8
526,30,409.75,407.5178571,3.26,3.52
551,70.07692308,414.7692308,426.7692308,3.426551724,3.37
305,78.14285714,346.8095238,541.2619048,2.37,2.54
322,23.44827586,447.3793103,267.7758621,4,3.81
615,80.82608696,250.3913043,628.0434783,3.58,2.55
617,18.28571429,320.952381,471.6666667,4,3.63
48,50.88888889,329.037037,389.2222222,3.627272545,3.5
60,69.32142857,388.1785714,372.8571429,3.629166333,3.466666
90,11.76190476,422.6666667,285.547619,3.434482069,3.483333
104,34.69230769,405.8461538,334.9615385,3.5249996,3.4
150,48.52173913,368.0434783,382.6304348,2.8999996,3.15
154,65.28,402.28,404.64,3.3499995,3.76923
163,59.07407407,474.9259259,445.4814815,3.896774032,4
186,51.10526316,419.4736842,373.2631579,3.925806129,3.888888
196,26.85185185,414.2962963,380.7222222,3.58749975,3.65
201,36.29411765,391.3529412,396.6176471,2.738461154,2.35
206,111.1851852,351.4814815,376.3148148,3.681818,3.95
209,29.85714286,439.7142857,280.125,3.608695435,3.73125
304,82.57142857,362.2857143,319.5952381,2.9484,2.64
321,44.03703704,413.7407407,432.1851852,3.048181818,3.67
337,37.85714286,411.6428571,445.2321429,3.455,2.97
398,84.82142857,446.1785714,364.6071429,3.13,3
400,35.67857143,421.7857143,441.1785714,3.0425,3.53
406,34.67857143,395.3571429,373.9821429,3.7,3.32
415,51.57142857,360.75,374.9642857,2.206363636,2.54
434,25.88888889,438,402.1666667,3.563214286,4
440,30.21428571,438.4642857,313.6785714,3.818,3.63
443,53.89285714,383.7142857,383.4107143,2.961363636,3.45
467,23.71428571,438.6428571,266.75,3.728181818,3.5
472,61.07142857,404.3928571,332.125,2.99625,1.8
481,29.82142857,425.7857143,350.5892857,3.735,3.4
488,18.22222222,357.3333333,402,3.149333333,2.5
496,19.85,507.1,322.1,3.7075,3.1
500,44.16,447.56,400.04,3.4136,3.47
521,47.8,386.2,337.9,3.456,3.15
535,58.96,384.6,341.88,3.075,2.46
543,70.60714286,417.1785714,361.0714286,2.617058824,3.35
560,33.46428571,509.2857143,405.1607143,3.155769231,3.47
14847,51.03333333,456.5666667,385.4333333,3.333166667,3.666833333
17020,59.67857143,429.6071429,425.3392857,3.166666667,3.5
18707,57,419.9,310.9,2.9334,3.277833333
51723,30.5,273.9166667,455.75,2.8002,3.4668
72885,45.76666667,356.8333333,414.4166667,3.3334,3.2666
79897,52.33333333,384.2,369.4833333,3.722166667,3.722333333
92566,39.74074074,327.5185185,362.2037037,3.6666,3.809571429
94455,40.84615385,275.8461538,382.0961538,3.055666667,3.333333333
334,18.48275862,315.6206897,436.1896552,3.2,3.63
424,23.82142857,480.6071429,327.4642857,3.140833333,2.8
293,11.74074074,370.037037,500.3333333,4,3.76
294,49.72,406.76,359.48,4,3.55
297,178.4705882,253.7647059,398.2352941,3,3.59
303,26.14814815,411.8518519,532.1111111,3.8,3.46
304,71.62962963,408.1111111,354.037037,3.17,3.5
315,19.41666667,430.125,471.7083333,4,3.61
321,35.4,357.72,431.52,4,3.44
333,52.88888889,402.1481481,444.2777778,3.79,4
337,10.55172414,367.7586207,425.2931034,3.57,3.81
338,35.62962963,366.4074074,406.2037037,3.7,3.57
342,23.5,455.6153846,434.0961538,4,4
343,40.31578947,330.8947368,551.2105263,2.92,3.12
350,10.96153846,406.7307692,391.3653846,3.74,3.81
376,26.89285714,455.4285714,308.4821429,3.48,2.98
378,28.28571429,299.0952381,414.952381,4,4
379,24.5,343.0769231,493.5192308,3.07,4
381,19,398,502.7272727,4,4
390,30.72222222,283.1111111,585.1944444,3.81,3.56
395,13.89285714,338.6785714,424.4285714,3.4,3.81
402,46.16,427.28,487.52,3.76,3.72
412,58.76923077,397.9230769,374.5769231,3.6,4
413,47.14285714,413.7857143,408,3.79,3
422,34.52,373.88,383.36,3.29,3.28
427,82.26666667,452.5333333,407.0666667,4,4
430,21.17241379,301.3103448,486.2241379,3.58,3.24
452,16,394.8275862,342.7586207,4,4
454,57.4,384.96,369,3.12,3.6
461,8.464285714,424.6785714,373.9464286,3.81,3.59
463,34.2962963,341.4814815,409.537037,3.49,3.6
466,36.78947368,349.6315789,540.6052632,2.65,3.49
473,36.95833333,400.5416667,405.7916667,3.25,2.49
476,24.67857143,406.75,385.2857143,3.52,3.45
483,85.79310345,336.1724138,477.0689655,3.78,3.8
487,136.1875,219.875,396.46875,2.78,1.5
489,19.10714286,481.1785714,349.1964286,4,4
507,7.052631579,428.3684211,361.6052632,3.69,3.76
522,17.94117647,421.3529412,453.1470588,4,3.53
525,45.4,351.2,476.64,3.55,2.6
559,32.77777778,370.4814815,627.5925926,3.57,3
572,62.38095238,347.8571429,533.1428571,3.8,3.59
595,54.4137931,408.2758621,348.6896552,2.49,2.84
644,64.61538462,415.7692308,432.0192308,3.17,2.8
671,18.53846154,414.6923077,424.9230769,3.8,4
4,28.15384615,447.5,372.3461538,3.7666665,3.5
8,61.56,456.72,364.8,3.5999996,3.127777
14,30.53571429,518.5714286,342.9107143,3.533333,3.9
15,31.75,493.5714286,260.2142857,3.746153846,3.9
20,152.6428571,274.1785714,315.6071429,2.882758207,2.75
22,54.11538462,494.3846154,305.1730769,3.15185137,3.1
23,35.71428571,444.8928571,314.6607143,2.915384,2.933333
24,54.89285714,382.1785714,477.2857143,3.451851556,3.8
26,29.75,467.1875,392.5,2.916666,1.7
30,41.77777778,438.7037037,405.5555556,3.33571375,3.933333
31,14.81481481,459.4814815,281.1481481,4,4
35,36.53571429,441.0357143,345,3.532257903,3.6
46,88.11538462,328.8846154,497.3269231,3.651515121,3.344444
51,64,362.125,508.5,3.757575182,3.833333
55,46.44444444,255.3703704,560.9814815,3.346428179,2.5
58,37.92592593,511.2592593,320.462963,3.583333,3.55
62,54.59090909,422.2727273,640.2272727,3.7799996,3.266666
64,34.75,442,404.05,3.8166665,3.933333
67,18.81481481,402.5925926,342.3333333,3.912902516,3.85
68,24.78571429,430.1428571,317.75,3.528571429,3.653846
69,17.08333333,328.1666667,430.875,2.939285286,1.7
73,18.22222222,418.1666667,325.25,4,3.972727
74,41.55555556,432.1851852,478.0925926,3.6999995,3.623076
75,36.92857143,487.4642857,305.9464286,3.82,3.66923
87,18.92857143,408.75,297.3928571,3.749999643,3.875
91,67.57142857,369.5357143,358.4285714,3.818749563,3.752941
92,27.42857143,485.7142857,314.2857143,3.077418968,3.230769
93,114,485.1666667,497,3.856521391,3.95
102,50.07142857,497.3571429,507.9285714,2.603447931,3.9
103,6.625,383.6666667,327.125,3.913792345,4
106,44.27272727,291.4545455,605.8636364,3.45999992,3.566666
109,51.03846154,371.0769231,330.9615385,3.315151182,3.721428
111,46.17647059,454.7058824,450.2058824,3.2799998,3.5
113,59.25,355.8214286,409.2857143,3.3799998,3.5
115,9.166666667,380.1666667,724.6666667,3.4156245,3.233333
116,90,423.4666667,320.9333333,3.675,3.538461
118,17.82608696,387.0434783,298.9782609,3.43999985,3.5
122,44.2,482.6,416.3,3.326086652,3.033333
124,48.7,418.7,368.9,3.111110778,3.2
126,90.44,408.48,320.44,3.8799998,3.961538
127,39.23076923,359.2307692,345.7307692,3.621739,3.592307
128,15.8,412.3,283.05,3.8666665,3.966666
130,29.67857143,511.6071429,264.4642857,3.916666,3.9
136,27.25,458,363.4642857,3.7,3.933333
141,51.88,451.84,316.18,3.333332556,2.533333
146,39.44444444,392.5185185,359.1296296,3.955172,3.964285
153,23.21428571,393.1071429,319.625,3.579999833,3.966666
155,22.64285714,406.7142857,398.9285714,3.913792862,3.952941
157,29.92857143,361.8214286,471.25,3.458620069,3.55
158,67.19230769,364.8846154,326.9230769,3.090624375,2.9
165,57.72,436.36,355.94,3.725806129,3.733333
166,27.35714286,432.5714286,333.3928571,3.892856357,3.833333
167,87.1,399.35,425.075,3.72,3.566666
170,42.07142857,487.0714286,282.4821429,3.7999995,3.766666
171,19.92307692,460.5384615,335.1923077,3.316666,3.233333
175,12.35714286,413.6785714,376.9107143,3.7499995,3.744444
179,34.96428571,430.4642857,296.4464286,4,3.966666
180,36.26923077,447.8846154,315.0961538,2.637930517,3.483333
188,30.39285714,435.1785714,319.7857143,3.645454394,3.83125
191,40.92857143,388.9642857,384.3214286,3.299999586,3.4
193,43.74074074,374.4444444,381.4259259,3.910714143,3.8
195,59.5,404.375,327.1875,2.608695217,2.866666
198,20.86956522,435.4347826,433.9782609,3.1999995,2.9
199,25,437.1363636,318.3863636,3.08,3.633333
306,29.28571429,421.6428571,355.7142857,3.865,3.87
307,26.04166667,434.1666667,322.625,3.458,3.29
312,43.875,390.0416667,335.1041667,3.2928125,3.76
323,23.58333333,406.4583333,464.8333333,2.958275862,2.8
324,34.82608696,460.173913,424.7826087,2.625,3
331,43.95652174,414.3913043,385.9782609,3.05,3.25
335,31.78571429,357.2142857,412.2321429,2.822222222,2.68
338,13.26923077,412.6153846,356.0769231,3.695517241,3.84
339,28.62962963,485.1481481,330.1481481,3.702,3.79
340,57.5,478.1666667,369.4166667,2.865,3.51
348,33.71428571,456,247.0714286,3.078888889,3.35
351,42.25,432.9285714,415.6964286,3.405,3.04
352,53.92,402.12,544.1,3.688928571,3.89
354,51.2962963,371.2222222,294.1851852,3.823235294,3.95
355,23.46428571,323.4285714,340.625,3.57,3.63
356,33.82142857,428.25,292.1071429,3.726206897,3.59
360,64.85714286,349.3928571,423.4642857,2.98,3.07
363,35.64285714,435.6428571,308.6071429,3.775,3.7
364,49.81818182,449.3636364,315.5454545,3.500967742,3.47
365,79.39285714,387.9285714,456.5,2.947142857,3.33
366,64.90909091,486.6363636,328.3863636,3.0975,3.3
369,27.37037037,437.1851852,347.6481481,3.803333333,3.76
373,36.81481481,409.4814815,308.4444444,3.155454545,3.41
378,39.77777778,456,307.1296296,3.88,3.78
380,30.15384615,412.7692308,322.1346154,3.259655172,3.23
386,53.42857143,372.2857143,372.2857143,3.917419355,4
394,25.17857143,462.4285714,299.8214286,3.71,3.45
399,56.55555556,433.1111111,460.8703704,3.730625,3.95
401,50.25,436.9285714,413.4464286,3.57,3.49
405,37.82142857,388.8928571,345,3.240625,3.59
407,50.41176471,428.8823529,404.1470588,3.665862069,3.7
413,31.04347826,378.9130435,463.6304348,3.32037037,3.13
418,35.41176471,396.6470588,407.8529412,3.78,3.8
422,61.24,478.52,429.14,2.830833333,3.08
435,42.11538462,417.2307692,457.8076923,3.315,3.53
439,16.82142857,370.6785714,367.6071429,3.653703704,3.3
448,51.03846154,417.8846154,514,4,3.97
454,47.35714286,365,374.25,3.25,3.27
458,64.33333333,451.962963,352.3518519,3.215,2.99
465,28.23076923,432.9230769,420.3076923,3.390357143,3.37
469,37.11111111,388.7407407,360,3.958857143,3.94
485,70.88888889,367.4444444,344.1111111,2.9,3
490,31.57142857,459.6071429,352.6785714,2.998,3.4
494,35.08333333,411.5,440.75,3.724117647,3.86
499,38.36,413.52,440.96,3.946428571,3.93
503,38.03703704,402.9259259,305.4814815,3.492258065,2.94
506,79.07407407,352.8148148,419.3333333,3.657272727,3.3
509,100.2857143,349.5714286,354.875,3.635,3.83
510,36.22727273,368.2272727,351.4090909,2.83,2.67
511,18.9047619,410.5714286,400.5952381,3.862592593,3.8
513,15.64,449.56,351.44,3.611,3.09
523,46.32142857,392.7857143,285.7321429,3.385,2.77
534,34.46153846,393.4230769,364.1923077,3.052727273,3
541,48.35714286,382.75,504.2857143,3.154482759,3.28
547,37.15384615,369.2692308,322.3269231,3.139259259,3.14
557,45.59259259,391.9259259,368.1481481,2.799130435,2.86
559,51.71428571,399.1071429,446.2321429,3.680625,3.17
562,6.555555556,298.3333333,584.6666667,3.88,3.52
564,49.07692308,407.3846154,415.0192308,3.601034483,3.63
567,24.09090909,436.3181818,433.7727273,3.948275862,3.91
570,35.51851852,403.4814815,427.3888889,3.363703704,3.01
571,40.42307692,435.3461538,427.1346154,3.625454545,3.49
306,42.5,339.9545455,492.4545455,3.4,3.5
308,38,414.3333333,467.3333333,2.53,2.4
314,34.67857143,381.2142857,446.8214286,2.79,3.37
360,32.04347826,350.6956522,349.3695652,3.29,3.39
361,30.86363636,357.7272727,451.5227273,3.59,3.38
380,6.24137931,376.5862069,473.4827586,3.48,3.46
383,55.41666667,411.8333333,459.0416667,3.77,3.57
386,72.31034483,422.137931,402.1724138,3.22,3.58
394,52.93103448,425.3448276,375.1724138,3.74,3.81
396,31.0952381,362.0952381,415.0238095,3.8,3.61
419,25.07407407,340,489.1851852,3.56,3.59
432,42.29411765,263.5294118,533.1470588,3.21,3.05
453,40.46666667,283.3333333,669.7333333,3.6,2.18
479,22.67857143,408.3214286,411.4107143,2.86,3.78
506,10.82758621,411.7241379,335.6896552,4,4
541,36.46428571,393.2857143,401.8392857,4,4
551,35.79310345,431.3448276,445.637931,4,3.42
563,67.89285714,427.7857143,401.0714286,4,4
577,52.8,393.72,393.32,3.78,3.81
581,39.22222222,397.962963,411.037037,3.56,4
586,28.52631579,427.1052632,457.3157895,3.8,4
609,25.68421053,421.4736842,330.5526316,3.77,3.79
613,44.18181818,388.4090909,398.9318182,4,4
631,32.60714286,428.5,477.8571429,2.36,2.79
662,30.92592593,457.3703704,535.4444444,1.7,2.47
665,40.07692308,405.3846154,442.7307692,3.52,3.57
670,44.32142857,413.1071429,407.5178571,3,3.53
1,67.48,445.24,425.78,3.196295815,3.9
10,49.28571429,361.8095238,289.9047619,3.9230765,4
12,26.125,370.5,390.2083333,3.555172069,3.56923
13,103.08,404.8,406.08,3.592856464,3.533333
28,48.60714286,439.2142857,326.6964286,3.744827034,3.838461
38,72.05,433.25,417.525,3.883333,3.9
39,25.78571429,371.1071429,493.0714286,3.466666182,3.608333
45,53.07407407,348.962963,330.7962963,3.96,3.766666
47,84.96428571,337.3928571,437.75,3.8666665,3.566666
49,68.5,400.25,536.6875,3.396551241,3.563636
54,76.38095238,399.5238095,573.5714286,3.082757931,2.477777
57,42.70833333,438.75,370.5625,3.2,3.038461
76,41.7037037,434.3333333,351.6296296,3.686206552,3.335714
88,64.19230769,436.3846154,394.0769231,3.54074037,3.233333
95,19.07692308,496.8461538,300.0192308,3.9041665,3.9
97,25.62962963,389.7407407,355.7407407,3.693102931,3.533333
99,47.5,400.0384615,385.3846154,3.590624313,3.366666
120,26.71428571,408,400.5714286,2.611110667,3.464285
138,22.38461538,386.0769231,540.0769231,3.7730765,3.866666
140,23.07142857,441.9285714,373.5357143,3.803333,3.944444
143,36.7,449.2,381,3.986842105,3.916666
145,31.92307692,423.6923077,490.6730769,3.239130435,3.633333
156,60.82142857,346.7142857,435.2678571,3.609374969,3.441176
159,104.4285714,287.8571429,456.4285714,3.421428286,2.91875
160,18.26666667,455.6,437.7333333,3.709090818,3.442857
178,39.64705882,329.4117647,600.0294118,3.269999433,2.894444
181,88.76190476,368.6666667,537.6666667,2.8999996,3.266666
183,52.61538462,353.6538462,476.2692308,3.880645161,4
184,46,388.7857143,367.3571429,3.8799996,3.666666
194,19.85714286,485.8571429,425.1428571,3.5299995,3.733333
197,63.66666667,404,430.3666667,2.983333,2.933333
202,56.7,393.5,647.75,3.886206586,3.866666
205,49.88888889,475.2962963,307.2222222,3.7999995,3.766666
313,17.39285714,383.9642857,323.3035714,2.92,3.52
320,26.51851852,420.2962963,393.1296296,3.335,3.63
347,35.64285714,418.5357143,327.3571429,3.816896552,3.67
353,43.96,401.88,372.12,2.827857143,3
370,71.07692308,366.3846154,380.6730769,3.315,3.9
372,59.59090909,466.6363636,275.1363636,3.428333333,3.28
374,10.39285714,533.2142857,291.4821429,3.938,3.8
376,70.17857143,363.2857143,341.3928571,3.267272727,3.84
385,22.33333333,497.8888889,434.037037,3.33,3.59
388,44.14285714,402.3214286,356.2678571,3.75862069,3.43
390,42.08,433.28,493,2.498235294,3.83
391,32.55555556,401.037037,340.7407407,3.788181818,3.91
392,57.32142857,359.3928571,395.4464286,3.720645161,3.77
403,15.38461538,508.8846154,269.0576923,3.546363636,3.46
404,110.5925926,336.3703704,434.6666667,2.538947368,1.96
411,33.17857143,336.3928571,380.5535714,3.03,2
427,292.3043478,194.7826087,330.0869565,2.947272727,1.07
432,25.42857143,371.5714286,442,3.2525,3.93
442,33.10714286,387.4642857,338.2321429,3.673448276,4
445,68.46428571,397.25,360.3571429,3.348181818,3.71
456,11.85714286,466.9642857,312.4821429,3.925454545,4
474,117.037037,350.8148148,494.2222222,3.092333333,2.26
489,19.92592593,466.2592593,327.0555556,3.46,3.37
491,21.8125,337.5,447.96875,3.40875,3.11
502,37.6,463.1,386.2,3.3,2.87
505,20.03571429,461.0714286,296.625,4,4
512,20.8,436.25,319.475,3.295882353,3.33
516,29.75,451.0714286,306.2142857,3.625714286,3.54
524,40.82142857,391.8928571,375.8035714,3.875555556,3.87
525,83.40740741,335.2592593,528.3333333,1.587692308,0.35
542,67.28571429,426.5,468.1785714,3.165,3.33
544,93.44,452.56,400.36,3.223703704,3.5
546,34.69230769,414.6153846,348.5576923,3.670689655,3.62
549,63.96296296,403.4444444,337.4074074,3.324347826,3.46
550,47.78571429,399.1071429,366.6785714,3.553214286,3.54
552,45.57692308,429.2307692,405.0961538,3.713928571,3.19
561,25.15384615,445.2692308,382.5576923,3.5353125,2.97
569,41.1,388,321.65,3.1625,3.71
10237,56.96428571,427.8571429,309.5535714,3.111,3.333166667
11002,29.79310345,371.5517241,408.9655172,3.904857143,3.952428571
13486,76,401.9666667,454.45,3.277666667,3.611166667
14279,48.3,427.3333333,337.8666667,3.777833333,3.722166667
14571,30.75,440.2142857,383.4285714,3.333428571,3.3335
14737,49.30769231,306,460.1346154,3.666833333,3.777833333
15134,54.35,350.95,362.025,3.6666,3.5555
17308,21.63333333,412.5,353.05,3.761857143,3.714428571
17932,36.12,415.36,417.06,3.833333333,3.833333333
19245,122.7931034,279.1724138,471.5517241,3.777666667,3.9445
19735,64.93333333,381.8333333,372.55,3.5555,3.7334
21090,11.68965517,425.1034483,396.1724138,3.9445,3.9445
21887,72.24137931,460.6896552,448.137931,3.611166667,3.9445
21932,127.9,357.4333333,394.45,3.9445,4
22138,34.5,427.8,337.1,3.666714286,3.91675
22408,18.38461538,383.9230769,402.5576923,3.777833333,3.888833333
22688,68.43333333,393.4666667,346.2833333,3.888833333,3.9445
