"id","race","gender","firstgen","total_sleep","university","cum_gpa","term_gpa","midpoint_sleep","naptime"
233,"Not Underrepresented","Female","Not First-Gen",362.9411765,"Carnegie Mellon University SP 2017",2.62,2.46,496.5882353,18.11764706
304,"Not Underrepresented","Female","Not First-Gen",362.3928571,"Carnegie Mellon University SP 2017",3,3.41,440.6785714,50.57142857
123,"Not Underrepresented","Male","Not First-Gen",439.862069,"Carnegie Mellon University SP 2017",3.46,4,321.6724138,13.4137931
189,"Not Underrepresented","Female","Not First-Gen",379.4827586,"Carnegie Mellon University SP 2017",4,3.56,423.4137931,14.20689655
191,"Not Underrepresented","Female","Not First-Gen",377.8333333,"Carnegie Mellon University SP 2017",4,4,395.6666667,23.83333333
215,"Not Underrepresented","Female","Not First-Gen",424.7241379,"Carnegie Mellon University SP 2017",3.79,4,346.8103448,11.65517241
291,"Not Underrepresented","Female","Not First-Gen",433.3043478,"Carnegie Mellon University SP 2017",1.21,2.32,460.1304348,25.39130435
208,"Underrepresented","Male","Not First-Gen",382.4642857,"Carnegie Mellon University SP 2017",2.65,3.53,539.5535714,37.07142857
326,"Underrepresented","Male","Not First-Gen",399.4705882,"Carnegie Mellon University SP 2017",1.94,1.79,560.5882353,29.52941176
332,"Not Underrepresented","Female","First-Gen",359.5,"Carnegie Mellon University SP 2017",3.4,3.69,444.1875,23.83333333
234,"Underrepresented","Male","First-Gen",303.4230769,"Carnegie Mellon University SP 2017",1.91,2.98,545.5576923,29.53846154
104,"Not Underrepresented","Female","Not First-Gen",377.5652174,"Carnegie Mellon University SP 2017",3.21,3.3,439.3478261,49.43478261
173,"Not Underrepresented","Female","Not First-Gen",400.1851852,"Carnegie Mellon University SP 2017",2.93,3.06,344.2037037,10.59259259
241,"Not Underrepresented","Female","Not First-Gen",393.5217391,"Carnegie Mellon University SP 2017",3.81,3.6,376.1304348,39.86956522
349,"Not Underrepresented","Female","Not First-Gen",430.75,"Carnegie Mellon University SP 2017",3.44,3.61,351.0625,18.625
357,"Not Underrepresented","Female","Not First-Gen",397.8846154,"Carnegie Mellon University SP 2017",4,4,407.8076923,22.73076923
152,"Not Underrepresented","Male","Not First-Gen",398.3636364,"Carnegie Mellon University SP 2017",3.98,4,347.0454545,55.72727273
196,"Not Underrepresented","Male","Not First-Gen",456.4642857,"Carnegie Mellon University SP 2017",3.79,3.18,316.7678571,20.96428571
204,"Underrepresented","Male","Not First-Gen",393.5789474,"Carnegie Mellon University SP 2017",2.15,2.76,349.1578947,66.36842105
